# time, size, L1 DCM, L2 DCM, L2 DCA, FLOP
0.694, 600, 257210561, 36442554, 257210561, 697333971
0.679, 600, 256489999, 35215164, 256489999, 697202584
0.710, 600, 257538601, 36142566, 257538601, 701132386
0.678, 600, 256503900, 35211009, 256503900, 696798441
0.736, 600, 258712090, 37877225, 258712090, 704587540
3.556, 1000, 1129388235, 130081293, 1129388235, 3293895209
3.560, 1000, 1129439578, 131215582, 1129439578, 3294957665
3.303, 1000, 1129461538, 125537822, 1129461538, 3269310010
3.304, 1000, 1129460765, 125557891, 1129460765, 3269454255
3.302, 1000, 1129461150, 125540945, 1129461150, 3269201718
9.138, 1400, 3096429384, 347506388, 3096429384, 8653397417
8.968, 1400, 3096222268, 344620424, 3096222268, 8634895351
9.099, 1400, 3096348519, 346710722, 3096348519, 8649834877
8.987, 1400, 3096259408, 345175226, 3096259408, 8639347279
9.054, 1400, 3096316519, 346016568, 3096316519, 8644450871
19.053, 1800, 6645423205, 795254385, 6645423205, 18147100210
18.951, 1800, 6646057604, 792753301, 6646057604, 18132560909
19.128, 1800, 6645187801, 796573446, 6645187801, 18160738585
19.131, 1800, 6645303390, 794439284, 6645303390, 18154703399
18.979, 1800, 6646106827, 793811478, 6646106827, 18139285709
35.356, 2200, 12008722856, 1362807715, 12008722856, 33152175393
35.264, 2200, 12011181697, 1361197331, 12011181697, 33182538137
35.369, 2200, 12008859982, 1367116541, 12008859982, 33159272107
35.202, 2200, 12011223412, 1360092473, 12011223412, 33171351838
34.971, 2200, 12008598140, 1353279923, 12008598140, 33099538167
60.778, 2600, 19820036176, 2277337779, 19820036176, 55584296289
61.692, 2600, 19821179629, 2299920178, 19821179629, 55713156718
61.694, 2600, 19820532056, 2301898120, 19820532056, 55718743851
61.446, 2600, 19819660625, 2298805639, 19819660625, 55681737498
61.168, 2600, 19820119781, 2283160074, 19820119781, 55607590308
95.906, 3000, 30469310748, 3615843410, 30469310748, 86133938730
95.627, 3000, 30471160562, 3606021071, 30471160562, 86208032670
95.745, 3000, 30471641726, 3609471216, 30471641726, 86112224897
96.231, 3000, 30479261307, 3621952583, 30479261307, 86371038530
96.215, 3000, 30471995623, 3593335576, 30471995623, 86163720817
